I.D,x-coord,y-coord,Attraction points_Proximity,Attraction points_Availability,Performing art_Proximity,Performing art_Availability,Cinemas_Proximity,Cinemas_Availability,Cafes_Proximity,Cafes_Availability,Restaurants_Proximity,Restaurants_Availability,Time_0,Time_1,Time_2,Time_3,Time_4,Time_5
1984,12982.59,8693.335,0.505747,0.888889,0.847826,1,0.833333,0.875,0.963636,0.324689,0.863636,0.061247,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
1985,13382.29,8706.455,0.528736,0.888889,0.858696,1,0.851852,0.875,0.872727,0.268672,0.863636,0.072383,1,0.989583,0.617647,0.5,0.5,0
1986,13582.14,8713.015,0.494253,0.888889,0.836957,1,0.851852,0.875,0.872727,0.238589,0.818182,0.066815,0.972973,0.972973,0.976153,0.992176,0.994745,0.973938
1987,13781.995,8719.57,0.45977,0.888889,0.771739,0.933333,0.888889,0.875,0.963636,0.062241,0.681818,0.022272,0.97561,0.97561,0.978479,0.99294,0.995257,0.976481
1988,16579.925,8811.405,0.62069,0.666667,0.728261,0.133333,0.75,0.125,0.8,0,0.727273,0.005568,1,1,1,1,1,1
1989,16679.855,8814.685,0.609195,0.666667,0.728261,0.133333,0.740741,0.125,0.8,0,0.681818,0.005568,1,1,1,1,1,1
1990,16779.78,8817.96,0.609195,0.666667,0.717391,0.133333,0.740741,0.125,0.781818,0,0.636364,0.005568,1,1,1,1,1,1
1991,16979.635,8824.52,0.62069,0.666667,0.728261,0.133333,0.712963,0.125,0.818182,0.010373,0.545455,0.005568,1,1,1,1,1,1
1992,19377.885,8903.235,0.149425,0.222222,0.48913,0.066667,0.296296,0,0.690909,0,0.181818,0,1,1,1,1,1,1
1993,9488.5,8478.62,0.609195,0.777778,0.673913,0.866667,0.731481,1,0.927273,0.077801,1,0.019488,0.999556,0.999094,0.956522,0.956522,0.956522,0.976708
1994,9888.195,8491.74,0.643678,0.888889,0.706522,0.866667,0.759259,0.75,0.854545,0.020747,0.863636,0.033408,1,1,1,1,1,1
1995,9988.12,8495.02,0.655172,0.888889,0.717391,0.866667,0.768519,0.75,0.854545,0.020747,0.863636,0.033408,1,1,1,1,1,1
1996,10187.97,8501.58,0.666667,0.888889,0.73913,0.866667,0.787037,0.75,0.872727,0.020747,0.954545,0.050111,0.999556,0.999094,0.956522,0.956522,0.956522,0.976708
1997,10287.895,8504.86,0.678161,0.888889,0.75,0.866667,0.796296,0.75,0.890909,0.041494,1,0.072383,0.999556,0.999094,0.956522,0.956522,0.956522,0.976708
1998,10487.74,8511.42,0.666667,0.888889,0.73913,0.866667,0.787037,0.75,0.872727,0.010373,0.863636,0.049555,0.857143,0.857143,0.87395,0.958647,0.972222,0.862245
1999,10587.67,8514.7,0.655172,0.888889,0.728261,0.866667,0.768519,0.75,0.854545,0.010373,0.772727,0.038976,0.857143,0.857143,0.87395,0.958647,0.972222,0.862245
2000,12786.02,8586.85,0.528736,0.888889,0.869565,1,0.861111,0.875,1,0.313278,0.954545,0.087973,0,0,0,0,0,0
2001,12885.945,8590.13,0.517241,0.888889,0.858696,1,0.842593,0.875,0.981818,0.329876,0.863636,0.063474,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
2002,12985.87,8593.41,0.505747,0.888889,0.847826,1,0.833333,0.875,0.981818,0.360996,0.818182,0.062918,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
2003,13185.72,8599.97,0.494253,0.888889,0.836957,1,0.824074,0.875,1,0.48029,0.818182,0.076837,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
2004,13285.645,8603.25,0.471264,0.888889,0.815217,0.933333,0.833333,0.875,0.963636,0.441909,0.818182,0.062361,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
2005,16483.28,8708.195,0.632184,0.666667,0.75,0.133333,0.768519,0.125,0.836364,0.010373,0.772727,0.005568,0.8,0.8,0.823529,0.942105,0.961111,0.807143
2006,16583.205,8711.475,0.632184,0.666667,0.73913,0.133333,0.759259,0.125,0.818182,0.004149,0.727273,0.005568,0.8,0.8,0.823529,0.942105,0.961111,0.807143
2007,16683.135,8714.755,0.62069,0.666667,0.728261,0.133333,0.75,0.125,0.8,0,0.681818,0.005568,0.8,0.8,0.823529,0.942105,0.961111,0.807143
2008,16783.06,8718.035,0.609195,0.666667,0.717391,0.133333,0.740741,0.125,0.781818,0,0.681818,0.005568,0.8,0.8,0.823529,0.942105,0.961111,0.807143
2009,16982.915,8724.595,0.632184,0.666667,0.73913,0.133333,0.712963,0.125,0.836364,0.010373,0.590909,0.005568,1,1,1,1,1,1
2010,17082.84,8727.875,0.632184,0.666667,0.73913,0.133333,0.722222,0.125,0.836364,0.010373,0.590909,0.005568,0.666667,0.666667,0.705882,0.903509,0.935185,0.678571
2011,17182.765,8731.155,0.62069,0.666667,0.728261,0.133333,0.712963,0.125,0.818182,0.010373,0.545455,0.005568,1,1,1,1,1,1
2012,19481.095,8806.585,0.126437,0.222222,0.467391,0.066667,0.314815,0,0.654545,0,0.090909,0,0.997959,0.995833,0.8,0.8,0.8,0.892857
2013,9891.475,8391.815,0.643678,0.888889,0.706522,0.866667,0.759259,0.75,0.854545,0.020747,0.863636,0.033408,0.999556,0.999094,0.956522,0.956522,0.956522,0.976708
2014,9991.4,8395.095,0.643678,0.888889,0.717391,0.866667,0.759259,0.75,0.854545,0.020747,0.909091,0.033408,0.999556,0.999094,0.956522,0.956522,0.956522,0.976708
2015,11390.345,8441.01,0.413793,0.777778,0.934783,0.8,0.759259,0.75,0.945455,0.03112,0.727273,0.066815,1,1,1,1,1,1
2016,11490.27,8444.29,0.402299,0.777778,0.923913,0.806667,0.75,0.75,0.927273,0.032158,0.681818,0.066815,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
2017,11590.195,8447.57,0.402299,0.722222,0.923913,0.833333,0.75,0.75,0.927273,0.036307,0.681818,0.056793,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
2018,11690.12,8450.85,0.45977,0.777778,0.978261,0.866667,0.796296,0.875,0.963636,0.041494,0.909091,0.066815,1,1,1,1,1,1
2019,11790.045,8454.13,0.45977,0.788889,0.978261,0.866667,0.796296,0.875,0.963636,0.041494,0.909091,0.066815,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
2020,11889.97,8457.41,0.471264,0.844444,0.98913,0.866667,0.805556,0.875,0.981818,0.041494,0.954545,0.072383,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
2021,11989.895,8460.69,0.494253,0.888889,0.98913,0.913333,0.824074,0.875,0.981818,0.074689,1,0.095768,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
2022,12089.82,8463.965,0.505747,0.888889,0.978261,0.933333,0.833333,0.875,0.963636,0.134855,0.954545,0.108575,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
2023,12189.745,8467.245,0.517241,0.888889,0.956522,0.933333,0.842593,0.875,0.981818,0.177386,0.909091,0.111359,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
2024,12289.67,8470.525,0.517241,0.888889,0.956522,0.933333,0.851852,0.875,0.981818,0.200207,0.863636,0.111359,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
2025,12589.445,8480.365,0.551724,0.888889,0.923913,1,0.87037,0.875,0.945455,0.259336,0.863636,0.150334,0.989796,0.979167,0,0,0,0.464286
2026,12689.37,8483.645,0.563218,0.888889,0.902174,1,0.87963,0.875,0.927273,0.30083,0.863636,0.167038,0.999362,0.998698,0.9375,0.9375,0.9375,0.966518
2027,12789.295,8486.925,0.551724,0.888889,0.891304,1,0.87037,0.875,0.981818,0.332988,0.954545,0.157016,0,0,0,0,0,0
2028,12889.225,8490.205,0.528736,0.888889,0.869565,1,0.851852,0.875,0.981818,0.350622,0.909091,0.086303,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
2029,12989.15,8493.485,0.517241,0.888889,0.858696,1,0.842593,0.875,0.981818,0.407676,0.863636,0.071826,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
2030,13089.075,8496.765,0.505747,0.888889,0.847826,1,0.833333,0.875,0.981818,0.456432,0.863636,0.074053,0,0,0,0,0,0
2031,13189,8500.045,0.494253,0.888889,0.826087,0.98,0.824074,0.875,0.981818,0.498963,0.909091,0.075167,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
2032,13288.925,8503.325,0.471264,0.877778,0.815217,0.933333,0.833333,0.875,0.963636,0.483402,0.863636,0.065702,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
2033,13388.85,8506.6,0.45977,0.788889,0.804348,0.933333,0.842593,0.875,0.981818,0.495851,0.818182,0.057906,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
2034,16386.635,8604.99,0.666667,0.666667,0.782609,0.26,0.787037,0.125,0.890909,0.010373,0.954545,0.005568,1,1,1,1,1,1
